Container, 0, 0, 0, 3.72144, 3.72144, 0
Container, 0, THREAD, 0, 3.72144, 3.72144, zero
State, 8589934592, STATE, 1.650309, 1.650478, 0.000169, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.650478, 1.650880, 0.000402, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.650880, 1.651162, 0.000282, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.651162, 1.651760, 0.000598, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.651760, 1.651946, 0.000186, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.651946, 1.652348, 0.000402, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.652348, 1.652507, 0.000159, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.652507, 1.653885, 0.001378, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.653885, 1.654059, 0.000174, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.654059, 1.654572, 0.000513, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.654572, 1.654732, 0.000160, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.654732, 1.655219, 0.000487, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.655219, 1.655379, 0.000160, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.655379, 1.655875, 0.000496, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.655875, 1.656034, 0.000159, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.656034, 1.656521, 0.000487, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.656521, 1.656678, 0.000157, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.656678, 1.657298, 0.000620, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.657298, 1.657466, 0.000168, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.657466, 1.658730, 0.001264, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.658730, 1.658898, 0.000168, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.658898, 1.659461, 0.000563, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.659461, 1.659661, 0.000200, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.659661, 1.660120, 0.000459, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.660120, 1.660289, 0.000169, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.660289, 1.660785, 0.000496, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.660785, 1.660945, 0.000160, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.660945, 1.661666, 0.000721, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.661666, 1.661828, 0.000162, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.661828, 1.662280, 0.000452, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.662280, 1.662468, 0.000188, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.662468, 1.664022, 0.001554, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.664022, 1.664205, 0.000183, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.664205, 1.664799, 0.000594, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.664799, 1.664985, 0.000186, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.664985, 1.665493, 0.000508, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.665493, 1.665682, 0.000189, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.665682, 1.666243, 0.000561, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.666243, 1.666400, 0.000157, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.666400, 1.666991, 0.000591, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.666991, 1.667151, 0.000160, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.667151, 1.667588, 0.000437, 5.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.667588, 1.667803, 0.000215, 4.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.667803, 1.669242, 0.001439, 5.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.669242, 1.670385, 0.001143, 6.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.670385, 1.670766, 0.000381, 7.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.670766, 1.671060, 0.000294, 8.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.671060, 1.671317, 0.000257, 7.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.671317, 1.671558, 0.000241, 6.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.671558, 1.672865, 0.001307, 5.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.672865, 1.673499, 0.000634, 6.000000, !$omp task @floorplan.c:530 <4>
