State, 8589934592, STATE, 1.667803, 3.712285, 2.044482, 5.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.669242, 1.671558, 0.002316, 6.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.670385, 1.671317, 0.000932, 7.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.670766, 1.671060, 0.000294, 8.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.672865, 1.674358, 0.001493, 6.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.673499, 1.674182, 0.000683, 7.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.673732, 1.673947, 0.000215, 8.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.675137, 1.676407, 0.001270, 6.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.675644, 1.676231, 0.000587, 7.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.675851, 1.676036, 0.000185, 8.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.676920, 1.678163, 0.001243, 6.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.677380, 1.677986, 0.000606, 7.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.677583, 1.677794, 0.000211, 8.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.678673, 1.679814, 0.001141, 6.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.679089, 1.679646, 0.000557, 7.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.679282, 1.679459, 0.000177, 8.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.680288, 1.681462, 0.001174, 6.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.680709, 1.681297, 0.000588, 7.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.680936, 1.681127, 0.000191, 8.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.681945, 2.321660, 0.639715, 6.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.682360, 2.321491, 0.639131, 7.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.682585, 1.683707, 0.001122, 8.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.683947, 1.684457, 0.000510, 8.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.684661, 2.321320, 0.636659, 8.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.686115, 2.245531, 0.559416, 9.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.686843, 2.245362, 0.558519, 10.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.687957, 1.688670, 0.000713, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.688879, 1.689397, 0.000518, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.689580, 1.690147, 0.000567, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.690319, 1.690860, 0.000541, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.691015, 1.691551, 0.000536, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.691706, 1.692235, 0.000529, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.692387, 1.692825, 0.000438, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.692989, 1.693555, 0.000566, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.693717, 1.694221, 0.000504, 11.000000, !$omp create task @floorplan.c:530 <3>
