Container, 0, 0, 0, 4.19993, 4.19993, 0
Container, 0, THREAD, 0, 4.19993, 4.19993, zero
State, 8589934592, STATE, 3.401920, 3.402372, 0.000452, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.402539, 3.403925, 0.001386, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.404092, 3.404567, 0.000475, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.404728, 3.405126, 0.000398, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.405293, 3.405743, 0.000450, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.405898, 3.406430, 0.000532, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.406588, 3.407039, 0.000451, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.407197, 3.408482, 0.001285, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.408721, 3.409251, 0.000530, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.409416, 3.409924, 0.000508, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.410079, 3.410586, 0.000507, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.410740, 3.411222, 0.000482, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.411379, 3.412692, 0.001313, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.412851, 3.413342, 0.000491, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.413501, 3.413982, 0.000481, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.414166, 3.414634, 0.000468, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.414821, 3.415272, 0.000451, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.415461, 3.416792, 0.001331, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.416951, 3.417392, 0.000441, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.417550, 3.418028, 0.000478, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.418186, 3.418589, 0.000403, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
